company,category,year,revenue,gross_profit,gross_profit_margin,net_income,net_profit_margin,ebitda,ebitda_margin
AMZN,LOGI,2016,135987.0,47722.0,35.093060366064407,2371.0,1.7435,12302.0,9.04645296976917
AAPL,IT,2016,215639.0,84263.0,39.07595564809705,45687.0,21.1868,70529.0,32.70697786578495
INTC,ELEC,2016,59387.0,36233.0,61.011669220536483,10316.0,17.3708,20923.0,35.231616347011972
AIG,Bank,2016,52367.0,5236.0,9.9986632803101188,-849.0,-1.6213,4805.0,9.1756258712547965
NVDA,ELEC,2016,5010.0,2811.0,56.107784431137716,614.0,12.2555,973.0,19.421157684630739
PYPL,FinTech,2016,10842.0,5141.0,47.41745065486073,1401.0,12.922,2310.0,21.306032097399
PCG,Manufacturing,2016,17666.0,12286.0,69.546020604551117,1393.0,7.8852,4835.0,27.368957319144116
MSFT,IT,2016,91154.0,58374.0,64.038879259275518,20539.0,22.5322,33330.0,36.564495249797048
BCS,BANK,2016,29072.54,29072.54,100.0,2373.13,9.1781,1.0,0.0034396719378492553
GOOG,IT,2016,90272.0,55134.0,61.075416518964907,19478.0,21.577,29860.0,33.077809287486708
MCD,FOOD,2016,24621.9,10204.7,41.445623611500331,4686.5,19.0339,9261.002,37.612864969803304
AIG,Bank,2015,58327.0,10565.0,18.113395168618307,2196.0,3.765,9958.0,17.072710751453016
MCD,FOOD,2015,25413.0,9789.2,38.520442293314453,4529.3,17.8228,8701.2,34.239168929288162
AMZN,LOGI,2015,107006.0,35355.0,33.040203353083,596.0,0.557,8514.0,7.9565631833728947
AAPL,IT,2015,233715.0,93626.0,40.059902017414373,53394.0,22.8458,82487.0,35.293840788995148
INTC,ELEC,2015,55355.0,34679.0,62.648360581699933,11420.0,20.6305,22713.0,41.031523800921327
NVDA,ELEC,2015,4682.0,2599.0,55.510465612985904,631.0,13.4772,1007.0,21.507902605724048
PYPL,FinTech,2015,9248.0,4719.0,51.027249134948093,1228.0,13.2786,2069.0,22.372404844290656
PCG,Manufacturing,2015,16833.0,11071.0,65.7696192003802,874.0,5.1922,4120.0,24.475732192716688
MSFT,IT,2015,93580.0,60542.0,64.6954477452447,12193.0,13.0295,31616.0,33.784996794186796
BCS,BANK,2015,38919.16,38919.16,100.0,-495.396,-1.3882,1.0,0.0025694285282621718
GOOG,IT,2015,74989.0,46825.0,62.442491565429592,15826.0,21.1044,24423.0,32.568776753923913
SHLDQ,Finance,2015,31198.0,7149.0,22.914930444259245,-1682.0,-5.3914,-889.0,-2.8495416372844415
GOOG,IT,2014,66001.0,40310.0,61.07483219951213,14136.0,21.4179,21475.0,32.537385797184889
BCS,BANK,2014,41677.15,41677.15,100.0,-197.7716,-0.519,1.0,0.0023993963118879289
AMZN,LOGI,2014,88988.0,26236.0,29.482626871038793,-241.0,-0.2708,4924.0,5.5333303366746076
SHLDQ,Finance,2014,36188.0,8755.0,24.193102685973251,-1365.0,-3.772,-195.0,-0.53885265833978113
AIG,Bank,2014,64406.0,19219.0,29.840387541533396,7529.0,11.6899,16752.0,26.00999906840978
AAPL,IT,2014,182795.0,70537.0,38.588035777783858,39510.0,21.6144,60449.0,33.069285264914249
INTC,ELEC,2014,55870.0,35609.0,63.735457311616251,11704.0,20.9486,23896.0,42.77071773760516
PYPL,FinTech,2014,8025.0,4218.0,52.560747663551396,419.0,5.2212,1784.0,22.230529595015579
MCD,FOOD,2014,27441.3,10455.7,38.102057847113663,4757.8,17.3381,9593.701,34.96081089452759
NVDA,ELEC,2014,4130.0,2268.0,54.915254237288138,440.0,10.6538,740.0,17.917675544794189
PCG,Manufacturing,2014,17090.0,10521.0,61.562317144528969,1436.0,8.4026,4883.0,28.572264482153304
MSFT,IT,2014,86833.0,59755.0,68.816003132449637,22074.0,25.4212,32971.0,37.9705872191448
NVDA,ELEC,2013,4280.159,2226.343,52.015427464260085,562.536,13.1429,874.4742,20.430881189226852
SHLDQ,Finance,2013,39854.0,10514.0,26.38129171475887,-930.0,-2.3335,-8.0,-0.020073267426105285
PCG,Manufacturing,2013,15598.0,9614.0,61.636107193229904,814.0,5.2186,3839.0,24.61212976022567
AAPL,IT,2013,170910.0,64304.0,37.624480720847231,37037.0,21.6705,55756.0,32.62301796267041
BCS,BANK,2013,43712.69,43712.69,100.0,846.5568,2.1758,1.0,0.0022876652066024759
INTC,ELEC,2013,52708.0,31521.0,59.803065948243152,9620.0,18.2515,20323.0,38.557714198983078
MSFT,IT,2013,77849.0,57464.0,73.814692545825892,21863.0,28.0839,30519.0,39.202815707330856
AMZN,LOGI,2013,74452.0,20271.0,27.226938161500026,274.0,0.368,3998.0,5.3699027561381829
AIG,Bank,2013,68874.0,21915.0,31.818973778203674,9085.0,13.1908,16922.0,24.569503731451636
GOOG,IT,2013,55519.0,33526.0,60.386534339595457,12733.0,22.9345,19342.0,34.8385237486266
MCD,FOOD,2013,28105.7,10902.7,38.791775333829079,5585.9,19.8746,10349.4,36.823135520552768
GOOG,IT,2012,46039.0,28863.0,62.692499837094637,10737.0,23.3215,16796.0,36.482112991159674
PCG,Manufacturing,2012,15040.0,10017.0,66.602393617021278,816.0,5.4255,3965.0,26.363031914893615
AIG,Bank,2012,71214.0,21825.0,30.647063779593903,3438.0,4.8277,19327.0,27.139326536916897
BCS,BANK,2012,46036.06,46036.06,100.0,-1650.089,-4.0909,1.0,0.0021722102195539756
INTC,ELEC,2012,53341.0,33151.0,62.149191053786026,11005.0,20.6314,22160.0,41.544028045968389
AMZN,LOGI,2012,61093.0,15122.0,24.752426628255282,-39.0,-0.0638,2835.0,4.640466174520812
SHLDQ,Finance,2012,41567.0,10601.0,25.503404142709364,-3140.0,-7.5541,-648.0,-1.5589289580676979
MSFT,IT,2012,73723.0,56193.0,76.2218032364391,16978.0,23.0295,30923.0,41.944847605224965
AAPL,IT,2012,156508.0,68662.0,43.87123980882766,41733.0,26.6651,58518.0,37.38978199197485
MCD,FOOD,2012,27567.0,10816.3,39.236405847571369,5464.8,19.8237,10093.1,36.612979286828455
NVDA,ELEC,2012,3997.93,2056.517,51.439544964519136,581.09,14.5348,852.5038,21.323629978513882
AIG,Bank,2011,65105.0,18692.0,28.710544505030335,19810.0,30.4278,15225.0,23.385300668151448
NVDA,ELEC,2011,3543.309,1409.09,39.7676296365911,253.146,7.1443,442.7361,12.49498985270548
SHLDQ,Finance,2011,42664.0,11664.0,27.339208700543782,133.0,0.3117,1306.0,3.0611288205512843
PCG,Manufacturing,2011,14956.0,9623.0,64.342070072211826,844.0,5.6432,4157.0,27.794864937148972
AAPL,IT,2011,108249.0,43818.0,40.478895878945764,25922.0,23.9466,35604.0,32.890835019261146
MSFT,IT,2011,69943.0,54366.0,77.7290079064381,23150.0,33.0984,29927.0,42.787698554537265
MCD,FOOD,2011,27006.0,10686.6,39.5712063985781,5503.1,20.3773,9944.701,36.824042805302518
BCS,BANK,2011,48866.82,48866.82,100.0,6338.98,12.2352,1.0,0.0020463782992222535
INTC,ELEC,2011,53999.0,33757.0,62.514120631863555,12942.0,23.9671,23541.0,43.595251763921553
