company,year,category,current_ratio,liquidity_risk,debt_equity_ratio,leverage_risk,overall_risk
NVDA,2023,ELEC,3.5156,Healthy,0.4956,Low leverage,Stable
PCG,2009,Manufacturing,0.8303,High risk,1.2063,Moderate,At risk
PCG,2010,Manufacturing,0.7713,High risk,1.1613,Moderate,At risk
PCG,2011,Manufacturing,0.8362,High risk,1.1241,Moderate,At risk
PCG,2012,Manufacturing,0.8186,High risk,1.0062,Moderate,At risk
PCG,2013,Manufacturing,0.7977,High risk,1.0127,Moderate,At risk
PCG,2014,Manufacturing,1.0792,Moderate,0.9802,Low leverage,Stable
PCG,2015,Manufacturing,0.9136,High risk,1.0164,Moderate,At risk
PCG,2016,Manufacturing,0.8149,High risk,1.0134,Moderate,At risk
PCG,2017,Manufacturing,0.881,High risk,0.9824,Low leverage,At risk
PCG,2018,Manufacturing,0.2205,High risk,1.7046,Moderate,At risk
PCG,2019,Manufacturing,1.3321,Moderate,0.0,Low leverage,Stable
PCG,2020,Manufacturing,0.707,High risk,1.9227,Moderate,At risk
PCG,2021,Manufacturing,0.6356,High risk,2.1152,High leverage,At risk
PCG,2022,Manufacturing,0.8117,High risk,2.2563,High leverage,At risk
PYPL,2014,FinTech,1.3224,Moderate,0.1325,Low leverage,Stable
PYPL,2015,FinTech,1.5163,Healthy,0.0,Low leverage,Stable
PYPL,2016,FinTech,1.5246,Healthy,0.0,Low leverage,Stable
PYPL,2017,FinTech,1.4279,Moderate,0.0625,Low leverage,Stable
PYPL,2018,FinTech,1.2725,Moderate,0.1299,Low leverage,Stable
PYPL,2019,FinTech,1.43,Moderate,0.2933,Low leverage,Stable
PYPL,2020,FinTech,1.3264,Moderate,0.4455,Low leverage,Stable
PYPL,2021,FinTech,1.2218,Moderate,0.3705,Low leverage,Stable
PYPL,2022,FinTech,1.2753,Moderate,0.5138,Low leverage,Stable
SHLDQ,2009,Finance,1.3412,Moderate,0.301,Low leverage,Stable
SHLDQ,2010,Finance,1.3018,Moderate,0.2655,Low leverage,Stable
SHLDQ,2011,Finance,1.3375,Moderate,0.3707,Low leverage,Stable
SHLDQ,2012,Finance,1.112,Moderate,0.8047,Low leverage,Stable
SHLDQ,2013,Finance,1.1011,Moderate,0.9836,Low leverage,Stable
SHLDQ,2014,Finance,1.0946,Moderate,1.9464,Moderate,Stable
SHLDQ,2015,Finance,1.0479,Moderate,-3.9958,Low leverage,Stable
SHLDQ,2016,Finance,1.1116,Moderate,-1.5215,Low leverage,Stable
SHLDQ,2017,Finance,1.0673,Moderate,-1.0887,Low leverage,Stable
SHLDQ,2018,Finance,0.7756,High risk,-1.1099,Low leverage,At risk
